Title,URL,Description
Why You Should Attend a Python Conference,http://realpython.com//python-conference-guide/,"Attending a Python conference can grow your network, skills, and confidence. Follow this guide to take your first steps toward joining a Python event."
N/A,N/A,— FREE Email Series —
N/A,http://realpython.com//account/onboarding/plan/,N/A
N/A,http://realpython.com//learning-paths/,N/A
N/A,http://realpython.com//search?kind=article&kind=course&order=newest,N/A
N/A,http://realpython.com//quizzes/,N/A
N/A,http://realpython.com//tutorials/all/,N/A
N/A,http://realpython.com//live/,N/A
N/A,http://realpython.com//community/,N/A
N/A,http://realpython.com//office-hours/,N/A
N/A,http://realpython.com//podcasts/rpp/,N/A
N/A,http://realpython.com//products/books/,N/A
N/A,http://realpython.com//ref/,N/A
N/A,http://realpython.com//mentor/,N/A
Getting Started With Google Gemini CLI,http://realpython.com//courses/getting-started-google-gemini-cli/,"Feb 03, 2026

intermediate
ai
tools"
The Terminal: First Steps and Useful Commands for Python Developers,http://realpython.com//terminal-commands/,"Feb 02, 2026

basics
tools"
How Long Does It Take to Learn Python?,http://realpython.com//how-long-does-it-take-to-learn-python/,"Jan 28, 2026

basics
career
community"
Create Callable Instances With Python's .__call__(),http://realpython.com//courses/create-callable-instances-dunder-call/,"Jan 27, 2026

intermediate
python"
"GeoPandas Basics: Maps, Projections, and Spatial Joins",http://realpython.com//geopandas/,"Jan 26, 2026

intermediate
data-science"
How to Integrate Local LLMs With Ollama and Python,http://realpython.com//ollama-python/,"Jan 21, 2026

intermediate
ai
tools"
uv vs pip: Python Packaging and Dependency Management,http://realpython.com//courses/uv-vs-pip-packaging-dependency-management/,"Jan 20, 2026

intermediate
ai
tools"
How to Integrate ChatGPT's API With Python Projects,http://realpython.com//chatgpt-api-python/,"Jan 19, 2026

intermediate
ai
api"
How to Create a Django Project,http://realpython.com//django-setup/,"Jan 14, 2026

basics
best-practices
django
web-dev"
Intro to Object-Oriented Programming (OOP) in Python,http://realpython.com//courses/intro-object-oriented-programming/,"Jan 13, 2026

intermediate
python"
Python's deque: Implement Efficient Queues and Stacks,http://realpython.com//python-deque/,"Jan 12, 2026

intermediate
data-structures
python
stdlib"
How to Build a Personal Python Learning Roadmap,http://realpython.com//build-python-learning-roadmap/,"Jan 07, 2026

basics
career"
Tips for Using the AI Coding Editor Cursor,http://realpython.com//courses/tips-using-ai-coding-editor-cursor/,"Jan 06, 2026

intermediate
ai
editors
tools"
Learn From 2025's Most Popular Python Tutorials and Courses,http://realpython.com//popular-python-tutorials-2025/,"Jan 05, 2026

basics
community
news"
LlamaIndex in Python: A RAG Guide With Examples,http://realpython.com//llamaindex-examples/,"Dec 24, 2025

intermediate
ai"
Reading User Input From the Keyboard With Python,http://realpython.com//courses/reading-user-input-from-keyboard/,"Dec 23, 2025

basics
best-practices"
SOLID Design Principles: Improve Object-Oriented Code in Python,http://realpython.com//solid-principles-python/,"Dec 22, 2025

intermediate
best-practices
python"
How to Build the Python Skills That Get You Hired,http://realpython.com//python-skills/,"Dec 17, 2025

basics
career"
N/A,N/A,
